37, -15,-5,-0 ,0.66
25, 25,5,0 ,0.436249
34, 15,-5,0 ,0.223751
104, 35,-15,-65 ,0.246588
36, -5,-5,-0 ,0.177778
44, -5,-15,-0 ,0.66
44, -5,-15,-0 ,0.66
36, -5,-5,-0 ,0.0727076
28, -5,5,0 ,0.101211
37, -15,-5,-0 ,0.114304
45, -15,-15,-0 ,0.545696
37, -15,-5,-0 ,0.227997
35, 5,-5,0 ,0.66
36, -5,-5,-0 ,0.436629
37, -15,-5,-0 ,0.223371
33, 25,-5,0 ,0.465958
35, 5,-5,0 ,0.194042
27, 5,5,0 ,0.360614
28, -5,5,0 ,0.299386
27, 5,5,0 ,0.273016
35, 5,-5,0 ,0.156453
35, 5,-5,0 ,0.315356
44, -5,-15,-0 ,0.344644
35, 5,-5,0 ,0.369796
37, -15,-5,-0 ,0.66
27, 5,5,0 ,0.177863
114, 15,-25,-65 ,0.482137
28, -5,5,0 ,0.349853
36, -5,-5,-0 ,0.310147
36, -5,-5,-0 ,0.66
43, 5,-15,0 ,0.438282
44, -5,-15,-0 ,0.221718
43, 5,-15,0 ,0.66
27, 5,5,0 ,0.450988
35, 5,-5,0 ,0.209012
37, -15,-5,-0 ,0.66
36, -5,-5,-0 ,0.66
27, 5,5,0 ,0.66
35, 5,-5,0 ,0.66
88, 35,5,-65 ,0.66
35, 5,-5,0 ,0.66
36, -5,-5,-0 ,0.66
35, 5,-5,0 ,0.66
36, -5,-5,-0 ,0.319495
41, 25,-15,0 ,0.122626
43, 5,-15,0 ,0.0822175
27, 5,5,0 ,0.0259362
45, -15,-15,-0 ,0.66
28, -5,5,0 ,0.231723
35, 5,-5,0 ,0.66
34, 15,-5,0 ,0.308493
30, -25,5,0 ,0.245407
36, -5,-5,-0 ,0.393751
38, -25,-5,-0 ,0.0208419
34, 15,-5,0 ,0.588736
35, 5,-5,0 ,0.071264
35, 5,-5,0 ,0.459666
42, 15,-15,0 ,0.200334
37, -15,-5,-0 ,0.66
29, -15,5,0 ,0.66
34, 15,-5,0 ,0.66
36, -5,-5,-0 ,0.66
35, 5,-5,0 ,0.66
35, 5,-5,0 ,0.166142
35, 5,-5,0 ,0.0186359
28, -5,5,0 ,0.66
36, -5,-5,-0 ,0.66
27, 5,5,0 ,0.66
27, 5,5,0 ,0.0410024
28, -5,5,0 ,0.412394
29, -15,5,0 ,0.247606
29, -15,5,0 ,0.66
43, 5,-15,0 ,0.0985834
44, -5,-15,-0 ,0.66
29, -15,5,0 ,0.2512
36, -5,-5,-0 ,0.66
36, -5,-5,-0 ,0.66
36, -5,-5,-0 ,0.188428
35, 5,-5,0 ,0.66
112, 35,-25,-65 ,0.66
34, 15,-5,0 ,0.66
43, 5,-15,0 ,0.199235
116, -5,-25,-65 ,0.460765
29, -15,5,0 ,0.66
34, 15,-5,0 ,0.0418135
28, -5,5,0 ,0.0495
35, 5,-5,0 ,0.1679
74, 15,25,-65 ,0.4921
29, -15,5,0 ,0.249822
37, -15,-5,-0 ,0.0266466
36, -5,-5,-0 ,0.66
43, 5,-15,0 ,0.382033
44, -5,-15,-0 ,0.277967
28, -5,5,0 ,0.354405
45, -15,-15,-0 ,0.305595
27, 5,5,0 ,0.31852
35, 5,-5,0 ,0.34148
36, -5,-5,-0 ,0.66
27, 5,5,0 ,0.242839
36, -5,-5,-0 ,0.0637074
43, 5,-15,0 ,0.353454
36, -5,-5,-0 ,0.66
43, 5,-15,0 ,0.66
34, 15,-5,0 ,0.268293
35, 5,-5,0 ,0.0860519
28, -5,5,0 ,0.529747
37, -15,-5,-0 ,0.130253
37, -15,-5,-0 ,0.66
43, 5,-15,0 ,0.394061
44, -5,-15,-0 ,0.66
35, 5,-5,0 ,0.143991
43, 5,-15,0 ,0.327786
29, -15,5,0 ,0.192321
34, 15,-5,0 ,0.467679
28, -5,5,0 ,0.64999
29, -15,5,0 ,0.0100095
43, 5,-15,0 ,0.215631
88, 35,5,-65 ,0.66
27, 5,5,0 ,0.495441
35, 5,-5,0 ,0.164559
36, -5,-5,-0 ,0.123425
91, 5,5,-65 ,0.0200567
28, -5,5,0 ,0.66
36, -5,-5,-0 ,0.66
43, 5,-15,0 ,0.436299
42, 15,-15,0 ,0.0815797
29, -15,5,0 ,0.141845
36, -5,-5,-0 ,0.117232
29, -15,5,0 ,0.66
28, -5,5,0 ,0.66
44, -5,-15,-0 ,0.0648102
50, 15,-25,0 ,0.10087
44, -5,-15,-0 ,0.66
36, -5,-5,-0 ,0.66
36, -5,-5,-0 ,0.66
96, 35,-5,-65 ,0.215058
104, 35,-15,-65 ,0.444942
33, 25,-5,0 ,0.307932
34, 15,-5,0 ,0.000315082
35, 5,-5,0 ,0.201424
41, 25,-15,0 ,0.15033
37, -15,-5,-0 ,0.0406603
90, 15,5,-65 ,0.61934
28, -5,5,0 ,0.66
